Profile URL,Bio,Location,Website,Following Count,Followers Count
https://twitter.com/GTNUK1,"Providing Entertainment & Travel to Commercial Radio. Reaching 28.9M weekly listeners. Winners of The Arqiva National Sales Team of the Year 2010, 2011 & 2016","London, England",https://t.co/aJKvkwp2dG,446,125
https://twitter.com/whatsapp,message privately with WhatsApp,California,https://t.co/ku2ShnylHa,5,5.5M
https://twitter.com/aacb_CBPTrade,Customs Broker,"Florida, USA",N/A,124,34
https://twitter.com/aacbdotcom,A & A Freight | Warehousing | Customs Brokerage | Helping people ship across borders.,Worldwide,http://t.co/laZo1M99c7,"3,813",651
https://twitter.com/@AAWindowPRODUCT,A commercial glass and glazing company serving the window industry in New England since 1954. #SafetyQualityService,"Malden, MA",https://t.co/UrYUiEDwWi,88,80
https://www.twitter.com/aandb_kia,"A&B Kia is a Kia dealer in Benwood, WV. Stay connected to exceed expectations. Build strong relationships. Drive the best with us.","Benwood, West Virginia",http://t.co/H1m1Bi9YHp,330,295
https://twitter.com/ABHomeInc,"Industry leader in wholesale home decor, furniture, and garden, since 1993.","Rancho Cucamonga, CA",https://t.co/2lx3XxMZio,176,361
https://twitter.com/Abrepro,"From large format black & white prints to the most sophisticated of digital color printing jobs, A & B can get the job done right.","Bentonville, AR",http://t.co/zyISURRqvP,123,131
https://twitter.com/ACChristofiLtd,"A & C CHRISTOFI LTD is a fast growing professional services company based in Limassol, Cyprus. Our main Concern is your Business.",Cyprus,https://t.co/msJpvYtuAt,291,90
https://twitter.com/aeclothing1,Used Clothing Distributor,Carteret,https://t.co/sIZNy1TeMH,0,17
https://twitter.com/AETechnologies1,N/A,"Boulder, CO USA",http://t.co/eMS6qX752b,1,36
https://twitter.com/AGInsuranceLLC,"A & G Insurance prides itself on being your local, full service, Independent Insurance Agency.",Connecticut,http://t.co/qDF7dVozxt,255,43
